話者,I(明瞭さ),F(親密さ),C(社会階層)
K001_009_2,2.088218474793814,-1.1243314158845497,0.6828042932176291
K001_010_1,1.955224092317949,-1.1889568558754553,0.7347472399767577
K001_010_2,2.363513299267047,-1.8087860746556792,1.293131048829442
K001_011_1,2.0277133879359193,-0.8398938976493349,0.6776991957183395
K001_011_2,2.06848420667086,-0.9559569476587514,0.6619127917150537
K001_013_1,1.534361569667028,-0.3613428632160702,0.0050386250033410485
K001_013_2,1.7800383818458456,-0.7908230064245046,0.4818212370724552
K001_014_1,2.0072232831900525,-0.7509545421799578,0.6224943114096868
K001_014_2,2.2957722755600476,-1.5272206415707859,1.3140058413135909
K001_016_1,2.462908151772477,-1.9222445057240742,1.1772937148600682
K001_016_2,1.3979357675763946,-0.7953050746775289,0.013205857901131794
K001_017_1,2.3445929876681832,-1.4451554428331363,1.08334827099781
K001_017_2,2.514692929778205,-2.3288869644178387,1.3573973768227037
K001_019_1,2.5474268056965172,-1.7451633262919266,1.388620480293498
K001_019_2,1.614913026898595,-1.0024227041993539,0.35243410671497866
K002_003_1,2.443247833295144,-1.9962151607553629,1.383897096418288
K002_003_2,2.7529156149151675,-2.654945380641883,1.6772244793771665
K002_003_1,2.5896161799251,-2.4382101240055665,1.6221515495362318
K002_003_2,2.5487477050465306,-2.3619881262062603,1.6363564677061537
K002_004_1,2.566684924407065,-2.4158781959476903,1.7467955885641644
K002_004_2,2.1081252759681153,-2.199364550558332,1.240199037315627
K002_007_1,2.213587745032976,-1.5561231010809229,1.1853518859035233
K002_007_2,2.2972734111557096,-1.7396104304774693,1.1935002260516658
K002_010_1,2.690538688609386,-2.2227751860688723,1.5801582065957056
K002_010_2,2.4737312750221,-1.8298441268240844,1.419801311399349
K002_012_1,2.2936181306118617,-1.610695223641355,1.1784710535532756
K002_012_2,2.1635801478042676,-1.7155674102812806,1.0269115449152308
K002_014_1,2.121945421857371,-1.1690301799032317,0.893705952038337
K002_014_2,1.9830440637997522,-1.2931062370600412,0.7172120072207627
K002_015_1,2.2906237602752992,-1.3330672099254857,1.1819723189767972
K002_015_2,2.02860087606287,-1.2095350342022557,0.8467610106954366
K002_016_1,2.2194754606864464,-1.5339827962373478,1.053269838994364
K002_016_2,2.381272186965321,-1.892849715463294,1.2354846960525194
K002_017_1,2.072766747551355,-0.9886590083225882,0.9418574988716859
K002_017_2,1.716197854933364,-0.8260548163311727,0.5148608951097287
K002_018_1,2.0606374239121297,-1.2469904364189415,0.8500407181913364
K002_018_2,1.9898777396492562,-1.4935464044253228,0.7779326244795429
K003_002_1,2.2065914988318514,-1.3238298185024617,1.0307871096271972
K003_002_2,1.0141854561744064,0.14976780185758487,-0.7587281178914055
K003_002_1,1.9192600779477638,-1.5549741165878912,0.9917446022399259
K003_002_2,1.5336496222105078,-0.5019132653061225,0.6415321195465475
K003_002_1,2.287024621875294,-1.4585882792847915,1.1277149340567467
K003_002_2,1.5778004687753824,-0.3929062099285584,0.17546619776965414
K003_002_1,2.0975308918840123,-1.1847161958735501,0.8782478422253026
K003_002_2,1.2389328169544405,-0.23059670352597542,0.059502189936972476
K003_003_1,2.02307739093413,-1.1510996611107267,0.8720209682178748
K003_003_2,2.0738896866412517,-1.1729233806578985,0.894707330216571
K003_005_1,2.12460595942457,-1.3889147247848639,1.0232826332188492
K003_005_2,2.21338821856279,-1.3527602647815107,1.0875109262045084
K003_006_1,2.0992465387021606,-1.101026408831806,0.6520258644110775
K003_006_2,2.190188305711154,-1.367602826933368,0.9641044369042441
K003_008_1,1.8897694616787153,-0.8228579217283151,0.45941908997021186
K003_008_2,1.920243841952581,-1.105608948566436,0.6910535839835865
K003_012_1,1.9698194336721502,-1.1846041689167295,0.6607943277824557
K003_012_2,1.8306219684937972,-0.8472301055738453,0.6015537973779667
K003_012_1,2.146605112981203,-1.2957393588542367,0.924499836561591
K003_012_2,1.8447091852415927,-1.149145361711473,0.702226277037621
K003_013_1,2.001131242031926,-1.108117713960762,0.7053312314141372
K003_013_2,2.0518761704741033,-1.1796530587595868,0.871438093651058
K003_013_1,1.6413885668964674,-0.9199858590619844,0.37743614574506684
K003_013_2,2.2369188941129607,-1.4270108208698051,1.1282541384857552
K003_014_1,2.01041265933164,-1.2539421813403417,0.7836511425796223
K003_014_2,2.0718331828257117,-1.1754897006806764,0.9624744635481126
K003_017_1,1.9916079019207726,-1.0885958597823004,0.6813067864991637
K003_017_2,2.052229922906631,-1.1573083384914669,0.902757103819066
K004_001_1,2.0260039615911856,-1.2722192314594072,1.0615040016430162
K004_001_2,1.4706123792706864,-0.14414087822853075,0.03424037056345125
K004_005_1,1.8568436710966707,-1.3589177891314446,0.8228105111085077
K004_005_2,2.1607746967839154,-1.714685376142489,0.8115360797381377
K004_007_1,2.0551937495689527,-1.19459012954319,0.952541182186447
K004_007_2,2.032647057647957,-1.4183042763944937,0.9992170084930609
K004_008_1,1.9686005838473837,-0.8856469212205562,0.6025352029126284
K004_008_2,1.8764506722508172,-0.6261698034730165,0.5166208236106946
K004_010_1,1.5540422312075854,-1.3944299309572685,0.4044128046768184
K004_010_2,2.41989658128324,-1.9516832917705733,1.3055090129071456
K004_011_1,1.9662713787822585,-1.0230217831070978,0.7553097767434344
K004_011_2,1.9565260019262822,-1.0495424551077186,0.9488479846935832
K004_012_1,2.0036206729881973,-1.8849631028573426,0.93492916205825
K004_012_2,2.3243707335949355,-1.9966319620176896,1.1229262575367622
K004_013_1,1.3604976393457295,-1.3358588089768508,0.17324081924055107
K004_013_2,1.517949355655765,-0.1414860600370342,0.1296412550188982
K004_015_1,2.090468817304446,-1.4636855718002724,0.9739859282760971
K004_015_2,2.236816813919574,-1.2057414319144526,0.9739375866954477
