,話者,I(明瞭さ),F(親密さ),C(社会階層)
62,K001_014_1,2.0126563730607905,-0.768403377704232,0.6199899952416389
63,K001_014_2,2.3040140155613957,-1.5294180454933728,1.3253004888638864
64,K001_016_1,2.4583152746788235,-1.9386201672783134,1.182251285944969
65,K001_016_2,1.4049472804074232,-0.8894703901933704,0.037366355099650514
66,K001_017_1,2.3431280477502154,-1.4513666729394057,1.0807628563124942
67,K001_017_2,2.510260984529071,-2.3356737061021593,1.3540839057775218
68,K001_019_1,2.5676784677508784,-1.7478683581158367,1.3947217478588465
69,K001_019_2,1.6675524767848078,-1.1195409720591687,0.40205817619415807
70,K002_003_1,2.4554546561827557,-2.035503276399184,1.3861689767906835
71,K002_003_2,2.7587921998911313,-2.6653937542430413,1.6824092430346824
72,K002_003_1,2.6071303153712706,-2.455181531258491,1.630948764416882
73,K002_003_2,2.5511917759809277,-2.368697810403214,1.6412224201726737
74,K002_004_1,2.5693167679888673,-2.415843969630726,1.748129293786309
75,K002_004_2,2.1312864608890028,-2.2301662376329747,1.2609592132086334
76,K002_007_1,2.2271319145811437,-1.5751675271888386,1.2049976607865263
77,K002_007_2,2.294384388674593,-1.736073892768974,1.1894755766119223
78,K002_010_1,2.6993870515001896,-2.2273895505871995,1.5853354859079833
79,K002_010_2,2.4690532834862733,-1.83793580747725,1.4162348758844558
80,K002_012_1,2.2789570348959747,-1.6307664584334454,1.1829921503555123
81,K002_012_2,2.1705368718952003,-1.747613221363291,1.0364941808082777
82,K002_014_1,2.1398020829472593,-1.2005535154621148,0.9308101117465191
83,K002_014_2,1.9978816690477363,-1.3238628923130653,0.7439859535504477
84,K002_015_1,2.30198812864035,-1.341865305972074,1.1977673368972084
85,K002_015_2,2.031401480220378,-1.2200037320395591,0.8482862665598039
86,K002_016_1,2.2178376600853187,-1.541689880128678,1.0585939258605628
87,K002_016_2,2.394287648183192,-1.9173083870477061,1.2534655729270874
88,K002_017_1,2.0948111765344066,-1.009688934217236,0.9532909123145715
89,K002_017_2,1.727904725587398,-0.7842928011075218,0.4801881830401492
90,K002_018_1,2.0753303648845107,-1.2699581742134933,0.8662211279165201
91,K002_018_2,1.9881546676871162,-1.5413796666207467,0.7655756481899274
92,K003_002_1,2.194500004651552,-1.2892701162188167,1.0051848135139654
93,K003_002_2,0.999238230663755,0.18128453038674017,-0.783472908889113
94,K003_002_1,1.9192600779477638,-1.5549741165878912,0.9917446022399259
95,K003_002_2,,,
96,K003_002_1,2.2827078218169063,-1.4332692045764097,1.1130642101485193
97,K003_002_2,1.5537615203257842,-0.42776942591374584,0.19037557570865574
98,K003_002_1,2.110680184164569,-1.1870299068767907,0.8922255890733115
99,K003_002_2,1.2763654256191574,-0.23426239932174656,0.09325806101400495
